decade,country_code,country,total_prcp_mm,obs_days,station_years,mean_mm_per_obs_day,projected_annual_mm
1750,AS,Australia,556790.1,240801,3561,2.312,844.0
1780,GM,Germany,4801.2,2556,7,1.878,685.6
1790,GM,Germany,4838.2,2902,8,1.667,608.5
1790,IT,Italy,943.7,730,2,1.293,471.9
1800,GM,Germany,5999.4,3533,10,1.698,619.8
1800,EZ,Czech Republic,2676.2,2040,6,1.312,478.8
1800,IT,Italy,380.5,365,1,1.042,380.5
1810,GM,Germany,4963.5,932,8,5.326,1943.9
1810,IT,Italy,5271.2,3287,9,1.604,585.3
1810,EZ,Czech Republic,5084.3,3652,10,1.392,508.2
1820,GM,Germany,7023.2,1676,14,4.19,1529.5
1820,UK,United Kingdom,1783.6,1096,3,1.627,594.0
1820,IT,Italy,8598.5,6271,18,1.371,500.5
1820,EZ,Czech Republic,4721.7,3653,10,1.293,471.8
1830,GM,Germany,11847.0,4699,20,2.521,920.2
1830,AS,Australia,7123.7,2978,10,2.392,873.1
1830,US,United States,327.3,144,1,2.273,829.6
1830,IT,Italy,20946.5,9495,27,2.206,805.2
1830,UK,United Kingdom,7986.1,4382,12,1.822,665.2
1830,SW,Sweden,2234.5,1461,4,1.529,558.2
1830,EZ,Czech Republic,5066.3,3652,10,1.387,506.4
1840,US,United States,24771.0,8092,29,3.061,1117.3
1840,GM,Germany,11794.4,4291,20,2.749,1003.3
1840,CA,Canada,6098.3,2313,10,2.637,962.3
1840,IT,Italy,23318.1,10228,29,2.28,832.1
1840,AS,Australia,17789.2,8365,35,2.127,776.2
1840,UK,United Kingdom,13954.2,7272,20,1.919,700.4
1840,NL,Netherlands,2036.7,1097,4,1.857,677.7
1840,SW,Sweden,5142.8,3653,10,1.408,513.9
1840,EZ,Czech Republic,4575.5,3653,10,1.253,457.2
1850,CA,Canada,9007.3,3652,10,2.466,900.2
1850,IT,Italy,30520.2,12782,35,2.388,871.5
1850,US,United States,69020.2,29356,108,2.351,858.2
1850,GM,Germany,14442.0,6437,27,2.244,818.9
1850,HR,Croatia,1442.7,673,3,2.144,782.4
1850,UK,United Kingdom,13813.4,7236,20,1.909,696.8
1850,AS,Australia,28927.3,15818,54,1.829,667.5
1850,NL,Netherlands,12504.3,6940,20,1.802,657.6
1850,SF,South Africa,6320.7,3652,10,1.731,631.7
1850,AG,Algeria,2906.0,1854,6,1.567,572.1
