decade,country,country_code,mean_mm_per_obs_day,projected_annual_mm,total_prcp_mm,obs_days,station_years
1750,Australia,AS,2.312,844.0,556790.1,240801,3561
1780,Germany,GM,1.878,685.6,4801.2,2556,7
1790,Germany,GM,1.667,608.5,4838.2,2902,8
1800,Czech Republic,EZ,1.312,478.8,2676.2,2040,6
1810,Czech Republic,EZ,1.392,508.2,5084.3,3652,10
1820,Czech Republic,EZ,1.293,471.8,4721.7,3653,10
1830,Czech Republic,EZ,1.387,506.4,5066.3,3652,10
1840,Czech Republic,EZ,1.253,457.2,4575.5,3653,10
1850,Czech Republic,EZ,1.217,444.1,4443.2,3652,10
1860,Czech Republic,EZ,1.107,404.1,4044.8,3653,10
1870,Greenland [Denmark],GL,0.594,216.8,1411.0,2376,7
1880,Egypt,EG,0.196,71.4,643.5,3288,9
1890,Egypt,EG,0.15,54.8,547.5,3644,10
1900,Egypt,EG,0.133,48.7,1591.2,11922,35
1910,Egypt,EG,0.122,44.6,1930.1,15781,47
1920,Egypt,EG,0.165,60.2,4129.0,25046,77
1930,Egypt,EG,0.13,47.5,3491.3,26827,80
1940,Egypt,EG,0.113,41.3,1827.6,16165,58
1950,Egypt,EG,0.138,50.4,3438.4,24919,91
1960,Egypt,EG,0.126,46.1,2408.7,19054,62
1970,Egypt,EG,0.234,85.4,515.4,2203,29
1980,Macau S.A.R,MC,0.0,0.0,0.0,2322,8
1990,Mongolia,MG,0.177,64.6,20210.5,114115,400
2000,Egypt,EG,0.332,121.3,4446.8,13379,97
2010,United Arab Emirates,AE,0.434,158.5,1904.5,4385,40
2020,United Arab Emirates,AE,0.501,182.9,1602.8,3198,22
