decade,country,country_code,mean_mm_per_obs_day,projected_annual_mm,total_prcp_mm,obs_days,station_years
1750,Australia,AS,2.312,844.0,556790.1,240801,3561
1780,Germany,GM,1.878,685.6,4801.2,2556,7
1790,Germany,GM,1.667,608.5,4838.2,2902,8
1800,Germany,GM,1.698,619.8,5999.4,3533,10
1810,Italy,IT,1.604,585.3,5271.2,3287,9
1820,Germany,GM,4.19,1529.5,7023.2,1676,14
1830,Germany,GM,2.521,920.2,11847.0,4699,20
1840,United States,US,3.061,1117.3,24771.0,8092,29
1850,Canada,CA,2.466,900.2,9007.3,3652,10
1860,Ireland,EI,3.117,1137.8,12419.7,3984,11
1870,Russia,RS,5.623,2052.5,10785.6,1918,6
1880,United States,US,3.113,1136.1,955503.5,306984,1179
1890,Austria,AU,3.044,1111.0,11116.2,3652,10
1900,Puerto Rico [United States],RQ,4.858,1773.3,161158.7,33172,102
1910,Puerto Rico [United States],RQ,4.594,1676.7,186146.4,40522,121
1920,Puerto Rico [United States],RQ,4.411,1610.2,192800.2,43705,129
1930,Turkey,TU,7.749,2828.4,46216.0,5964,49
1940,Palau,PS,10.572,3858.9,14283.2,1351,6
1950,New Caledonia [France],NC,24.892,9085.6,81721.0,3283,9
1960,New Caledonia [France],NC,27.554,10057.1,100571.0,3650,10
1970,New Caledonia [France],NC,19.276,7035.9,100102.3,5193,17
1980,New Caledonia [France],NC,14.113,5151.1,92677.9,6567,20
1990,New Caledonia [France],NC,15.218,5554.7,101460.5,6667,20
2000,Sudan,SU,18.521,6760.0,171445.4,9257,271
2010,Guinea,GV,20.777,7583.7,21359.1,1028,15
2020,Indonesia,ID,15.397,5619.9,56999.4,3702,517
