rank,station_id,name,country,country_code,state,lat,lon,elev_m,date,prcp_mm,year_file,mflag,sflag,obs_time
1,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19760117,1750.0,1976,,I,
2,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19900123,1732.0,1990,,I,
3,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19720115,1720.0,1972,,I,
4,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19670110,1608.0,1967,,I,
5,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19970107,1594.0,1997,,I,
6,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19990122,1570.0,1999,,I,
7,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19680118,1525.0,1968,,I,
8,USC00511940,HONOMANU MAUKA 344,United States,US,HI,20.8167,-156.2,894.0,19500430,1505.0,1950,,0,
9,USC00512685,KAILUA MAUKA 443,United States,US,HI,20.8333,-156.2333,966.2,19500430,1457.2,1950,,0,
10,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19960326,1456.0,1996,,I,
11,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,20000114,1422.0,2000,,I,
12,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19680407,1262.0,1968,,I,
13,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19950411,1242.0,1995,,I,
14,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,20030313,1228.0,2003,,I,
15,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19740204,1201.0,1974,,I,
16,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19550401,1168.0,1955,,I,
17,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19590313,1160.0,1959,,I,
18,USC00510452,EAST HONOMANU 345,United States,US,HI,20.8167,-156.2,976.0,19550228,1158.0,1955,,0,
19,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19670908,1145.0,1967,,I,
